AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2020;CIÊNCIAS BIOLÓGICAS;PARASITOLOGIA;PARASITOLOGIA;NÃO SE APLICA;NÃO SE APLICA;9;CIÊNCIAS BIOLÓGICAS III;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018002P1;BIOLOGIA EXPERIMENTAL;EXPERIMENTAL BIOLOGY;MESTRADO/DOUTORADO;4;2001;2001/2005;EM FUNCIONAMENTO;30DEC2013:00:00:00;204782;136079
2020;CIÊNCIAS BIOLÓGICAS;ECOLOGIA;ECOLOGIA;NÃO SE APLICA;NÃO SE APLICA;7;BIODIVERSIDADE;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018041P7;CONSERVAÇÃO E USO DE RECURSOS NATURAIS;CONSERVATION AND USE OF NATURAL RESOURCES;MESTRADO;A;2019;2019;EM FUNCIONAMENTO;28AUG2019:00:00:00;205045;136298
2020;CIÊNCIAS HUMANAS;PSICOLOGIA;PSICOLOGIA;NÃO SE APLICA;NÃO SE APLICA;37;PSICOLOGIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018009P6;PSICOLOGIA;GRADUATE PROGRAM PSYCOLOGY;MESTRADO;3;2009;2009;EM FUNCIONAMENTO;29MAY2013:00:00:00;205071;136330
2020;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018010P4;LETRAS;MASTER DEGREE: MESTRADO ACADÊMICO EM LETRAS;MESTRADO;3;2010;2010;EM FUNCIONAMENTO;23APR2013:00:00:00;204212;135590
2020;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;PROFISSIONAL;10001018016P2;EDUCAÇÃO ESCOLAR;PROFESSIONAL MASTERS OF SCHOOL EDUCATION;MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL;4;2014;2014;EM FUNCIONAMENTO;10APR2013:00:00:00;203161;134713
2020;CIÊNCIAS HUMANAS;FILOSOFIA;FILOSOFIA;NÃO SE APLICA;NÃO SE APLICA;33;FILOSOFIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018043P0;FILOSOFIA;PHILOSOPHY;MESTRADO;A;2019;2019;EM FUNCIONAMENTO;17SEP2019:00:00:00;205047;136300
2020;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018006P7;ADMINISTRAÇÃO;MASTER IN ADMINISTRATION;MESTRADO;3;2006;2006;EM FUNCIONAMENTO;30DEC2013:00:00:00;204018;135496
2020;MULTIDISCIPLINAR;INTERDISCIPLINAR;MEIO AMBIENTE E AGRÁRIAS;MEIO AMBIENTE E AGRÁRIAS;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018004P4;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;POSGRADUAT PROGRAM IN REGIONAL DEVELOPMENT AND ENVIRONMENT;MESTRADO/DOUTORADO;4;1999;1999/2013;EM FUNCIONAMENTO;13NOV2013:00:00:00;205040;136320
2020;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;PROFISSIONAL;10001018039P2;DIREITOS HUMANOS E DESENVOLVIMENTO DA JUSTIÇA;PROFESSIONAL INTERDISCIPLINARY MASTER ON HUMAN RIGHTS AND DEVELOPMENT OF JUSTICE;MESTRADO PROFISSIONAL;3;2017;2017;EM FUNCIONAMENTO;02MAY2017:00:00:00;204738;136055
2020;MULTIDISCIPLINAR;INTERDISCIPLINAR;MEIO AMBIENTE E AGRÁRIAS;MEIO AMBIENTE E AGRÁRIAS;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;ROLIM DE MOURA;ACADÊMICO;10001018044P6;AGROECOSSISTEMAS AMAZÔNICOS;AMAZONIANS AGROECOSYSTEMS;MESTRADO;A;2020;2020;EM FUNCIONAMENTO;24MAR2020:00:00:00;205048;136301
