AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2022;CIÊNCIAS EXATAS E DA TERRA;MATEMÁTICA;MATEMÁTICA;NÃO SE APLICA;NÃO SE APLICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019003P0;MATEMÁTICA;GRADUATE PROGRAM IN MATHEMATICS;MESTRADO/DOUTORADO;5;1967;1967/1984;EM FUNCIONAMENTO;01JUN2010:00:00:00;249670;187502
2022;CIÊNCIAS SOCIAIS APLICADAS;ECONOMIA;ECONOMIA;NÃO SE APLICA;NÃO SE APLICA;28;ECONOMIA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;PROFISSIONAL;25001019087P9;GESTÃO E ECONOMIA DA SAÚDE;HEALTH ECONOMICS AND MANAGEMENT GRADUATION;MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL;5;2012;2012/2020;EM FUNCIONAMENTO;24MAY2013:00:00:00;247295;185520
2022;CIÊNCIAS SOCIAIS APLICADAS;SERVIÇO SOCIAL;SERVIÇO SOCIAL;NÃO SE APLICA;NÃO SE APLICA;32;SERVIÇO SOCIAL;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019031P3;SERVIÇO SOCIAL;SOCIAL WORK;MESTRADO/DOUTORADO;6;1979;1979/1999;EM FUNCIONAMENTO;07AUG2010:00:00:00;250578;188338
2022;CIÊNCIAS HUMANAS;ANTROPOLOGIA;ANTROPOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019013P5;ANTROPOLOGIA;POSTGRADUATE PROGRAM IN ANTHROPOLOGY;MESTRADO/DOUTORADO;5;1977;1977/2001;EM FUNCIONAMENTO;18MAR2014:00:00:00;253512;190715
2022;CIÊNCIAS EXATAS E DA TERRA;OCEANOGRAFIA;OCEANOGRAFIA;NÃO SE APLICA;NÃO SE APLICA;7;BIODIVERSIDADE;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019034P2;OCEANOGRAFIA;OCEANOGRAPHY;MESTRADO/DOUTORADO;5;1982;1982/1996;EM FUNCIONAMENTO;01JUN2010:00:00:00;252988;190417
2022;CIÊNCIAS DA SAÚDE;FONOAUDIOLOGIA;FONOAUDIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;21;EDUCAÇÃO FÍSICA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019172P6;SAÚDE DA COMUNICAÇÃO HUMANA;GRADUATE PROGRAM IN HUMAN COMMUNICATION HEALTH;MESTRADO;4;2017;2017;EM FUNCIONAMENTO;28MAR2017:00:00:00;249457;187370
2022;CIÊNCIAS HUMANAS;ARQUEOLOGIA;ARQUEOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019059P5;ARQUEOLOGIA;ARCHAEOLOGY;MESTRADO/DOUTORADO;5;2003;2003/2003;EM FUNCIONAMENTO;20SEP2012:00:00:00;251844;189564
2022;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;PROFISSIONAL;25001019055P0;GESTÃO PÚBLICA PARA O DESENVOLVIMENTO DO NORDESTE;PUBLIC ADMINISTRATION FOR THE DEVELOPMENT OF THE NORTHEAST;MESTRADO PROFISSIONAL;3;2001;2001;EM FUNCIONAMENTO;08MAR2013:00:00:00;250987;188737
2022;CIÊNCIAS DA SAÚDE;MEDICINA;NEUROLOGIA;CLÍNICA MÉDICA;NEUROLOGIA;16;MEDICINA II;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019043P1;NEUROPSIQUIATRIA E CIÊNCIAS DO COMPORTAMENTO;NEUROPSYCHIATRY AND BEHAVIORAL SCIENCES;MESTRADO/DOUTORADO;4;1994;1994/2006;EM FUNCIONAMENTO;07MAY2013:00:00:00;251880;189600
2022;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;NÃO SE APLICA;NÃO SE APLICA;13;ENGENHARIAS III;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019021P8;ENGENHARIA DE PRODUÇÃO;POSTGRADUATE PROGRAMM IN PRODUCTION ENGINEERING;MESTRADO/DOUTORADO;7;1979;1979/2001;EM FUNCIONAMENTO;27MAR2013:00:00:00;251114;188842
